ID	OPC	CUSPS
619	20.25	3
620	29.5	2
621	102.25	3
622	46.75	2
623	29.5	1
624	30.875	1
625	17.0	2
626	43.25	4
627	86.5	3
628	25.0	2
629	107.75	2
630	51.875	3
631	29.5	2
632	33.0	2
633	23.625	3
634	28.25	3
635	21.25	3
636	21.75	3
637	21.25	3
638	17.0	1
639	39.5	2
640	33.0	3
641	106.375	5
643	44.25	3
644	22.75	2
645	51.25	1
646	43.0	3
648	81.5	4
649	21.125	1
650	64.25	4
651	79.875	4
652	38.375	3
653	47.375	4
655	35.125	2
656	29.75	1
657	58.0	4
658	67.5	4
659	34.75	3
660	48.75	1
661	48.0	4
662	24.0	1
663	56.0	3
664	79.375	3
665	70.5	4
666	30.375	3
667	101.25	3
668	64.75	5
669	23.375	1
670	28.75	2
671	86.125	5
672	31.25	3
673	70.5	3
674	104.25	5
675	105.5	1
676	72.125	4
677	110.625	2
678	22.0	3
679	47.375	2
680	65.5	4
681	124.5	1
682	145.125	3
683	74.125	5
684	20.75	1
685	30.0	4
686	37.0	3
687	117.125	5
688	47.75	3
689	60.375	4
690	22.0	3
691	94.125	5
692	34.75	1
693	134.875	4
694	55.875	2
695	22.5	3
696	28.875	3
697	105.75	5
698	27.75	1
699	32.5	3
700	48.375	5
701	79.125	5
703	27.75	3
704	43.375	1
705	22.125	1
706	29.25	1
707	65.875	2
708	167.875	2
709	123.75	2
710	32.875	4
711	25.375	1
712	28.25	1
713	16.75	1
714	22.25	3
715	155.25	3
716	58.25	3
717	30.125	2
718	249.625	3
719	24.375	1
720	59.25	3
721	174.125	2
722	115.5	3
724	51.875	4
725	38.0	1
726	78.375	3
727	192.875	1
728	29.875	3
729	19.25	1
730	28.125	1
731	34.0	3
733	70.0	7
734	35.0	3
735	63.75	2
736	19.25	1
737	21.0	2
738	26.375	3
739	27.25	2
740	22.0	2
741	22.375	3
742	202.75	3
743	44.125	3
744	158.875	3
745	97.875	2
746	65.5	1
747	41.125	2
748	49.625	3
749	33.75	2
750	36.5	4
751	34.875	1
752	18.0	1
753	33.25	1
754	124.125	3
755	23.625	3
756	26.75	2
757	21.0	3
758	117.5	7
759	30.25	3
760	164.625	6
761	51.125	3
762	85.625	5
763	31.75	2
764	28.0	3
765	74.5	4
766	354.25	3
767	134.0	1
768	146.875	4
769	80.75	3
770	32.25	2
771	31.5	3
772	37.75	4
773	52.0	6
774	49.375	3
775	42.5	4
776	54.125	4
777	38.25	3
778	22.0	3
779	61.25	5
780	59.5	2
781	27.375	2
782	63.75	1
783	31.125	3
784	86.0	4
785	65.25	4
786	71.75	1
787	21.25	1
788	18.75	1
789	40.125	3
790	91.75	1
791	139.75	5
792	109.0	2
793	27.75	3
796	32.25	3
797	135.875	1
798	25.75	3
799	24.25	3
800	18.0	1
801	52.75	3
802	29.875	3
803	54.875	4
804	20.875	3
805	36.375	1
806	57.25	3
807	62.0	2
808	46.0	3
809	115.875	3
810	88.5	1
811	30.25	3
812	57.0	1
813	186.75	2
814	51.0	2
815	148.0	1
816	158.625	6
817	38.625	3
818	22.75	1
819	170.25	1
820	19.0	1
821	22.25	3
822	65.375	5
823	20.5	1
824	31.625	1
825	67.875	3
826	83.25	6
