ID	OPC	CUSPS
658	19.25	1
659	17.375	1
660	23.5	1
661	39.5	1
662	28.625	1
663	25.125	1
664	18.75	1
665	26.875	3
666	26.75	3
667	27.0	1
668	20.125	1
669	34.5	1
670	15.0	1
671	28.75	1
672	26.0	1
673	46.5	4
674	19.0	1
675	18.875	1
676	18.375	1
677	32.125	4
678	34.0	3
679	46.5	1
680	17.5	1
681	19.25	3
682	17.125	1
683	19.25	3
684	32.5	2
685	21.375	1
686	20.5	1
687	17.5	1
688	36.375	1
689	16.0	1
690	37.875	2
691	60.25	1
692	21.5	1
693	20.0	1
694	74.0	4
695	18.5	3
696	38.0	3
697	18.75	2
698	36.25	3
699	14.0	1
700	17.75	3
701	24.0	3
702	22.75	2
703	33.375	1
704	22.125	1
705	25.875	1
706	17.5	2
707	72.75	1
708	26.25	2
709	18.875	3
710	18.625	1
711	31.375	3
712	29.25	3
713	34.25	1
714	18.0	1
715	21.75	2
716	24.75	1
717	20.125	3
718	48.625	2
719	23.25	1
720	36.125	2
721	53.625	1
722	27.875	1
723	59.875	3
724	25.875	1
725	34.125	1
726	26.875	2
727	30.25	2
728	16.5	1
729	25.75	2
730	22.375	3
731	21.75	3
732	19.75	3
733	38.0	1
734	41.5	1
735	49.5	1
736	27.0	1
737	19.5	1
738	31.625	1
739	36.5	2
740	27.0	2
741	28.75	2
742	36.375	2
743	20.125	1
744	39.375	1
745	24.5	1
746	16.75	1
747	18.75	1
748	24.125	2
749	26.25	1
750	38.125	1
751	89.125	1
752	39.75	1
753	24.0	2
754	18.5	1
755	33.75	4
756	27.75	3
757	18.25	1
758	20.125	1
759	24.375	2
760	20.25	3
761	19.875	1
762	25.75	3
763	42.5	3
764	32.75	1
765	24.0	1
766	49.25	3
767	17.75	1
768	32.625	2
769	29.25	3
770	41.875	3
771	18.0	1
772	26.25	1
773	83.875	3
774	38.5	3
775	35.375	4
776	32.5	3
777	25.25	1
778	15.75	1
779	21.625	3
780	19.75	3
781	30.875	2
782	16.5	3
783	21.75	1
784	59.75	3
785	50.25	1
786	20.5	1
787	40.75	3
788	28.25	2
789	19.875	1
790	27.0	1
791	21.0	3
792	17.0	1
793	20.0	2
794	29.5	1
795	17.25	3
796	33.625	1
797	33.875	3
798	18.5	1
799	19.25	1
800	29.5	1
801	34.25	1
802	93.0	1
803	35.625	1
804	44.5	1
805	22.25	1
806	47.625	2
807	16.875	1
808	30.25	2
809	27.75	1
810	21.75	2
811	30.375	2
812	35.5	2
813	28.375	2
814	51.5	2
815	29.5	2
816	36.25	1
817	26.0	1
818	22.75	3
819	31.75	3
820	37.25	2
821	21.75	1
822	30.5	2
823	20.5	3
825	25.5	3
826	33.875	1
827	26.0	1
828	20.875	3
829	70.5	1
830	21.0	3
831	24.625	2
832	40.625	3
833	20.0	3
834	26.75	2
835	18.75	1
836	86.75	1
837	17.75	1
838	20.0	1
839	24.25	1
